area,pmcid,doi,year,journal,title,U,E,EP,S,adjudicated,adjudicated_items,dual_coded,also_coded_in_areas
A2,PMC11685617,10.1038/s41467-024-55072-6,2024,Nature communications,Artificial intelligence-driven rational design of ionizable lipids for mRNA delivery.,0,1,1,0,no,,yes,
A2,PMC11765179,10.3390/gels11010045,2025,"Gels (Basel, Switzerland)",Characterization and Machine Learning-Driven Property Prediction of a Novel Hybrid Hydrogel Bioink Considering Extrusion-Based 3D Bioprinting.,0,0,0,0,no,,no,A4
A2,PMC11855220,10.1002/smll.202405618,2025,"Small (Weinheim an der Bergstrasse, Germany)",Rational Design of Lipid Nanoparticles for Enhanced mRNA Vaccine Delivery via Machine Learning.,0,0,1,0,no,,no,
A2,PMC11884566,10.1002/advs.202415902,2025,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)","Machine Learning-Driven Prediction, Preparation, and Evaluation of Functional Nanomedicines Via Drug-Drug Self-Assembly.",0,0,0,0,no,,yes,
A2,PMC12030581,10.3390/pharmaceutics17040513,2025,Pharmaceutics,The Prediction of the In Vitro Release Curves for PLGA-Based Drug Delivery Systems with Neural Networks.,1,0,0,0,no,,no,
A2,PMC12033270,10.1038/s41598-025-99823-x,2025,Scientific reports,Chemometric and computational modeling of polysaccharide coated drugs for colonic drug delivery.,1,0,0,0,no,,yes,
A2,PMC12216472,10.1038/s41598-025-06227-y,2025,Scientific reports,Implementing partial least squares and machine learning regressive models for prediction of drug release in targeted drug delivery application.,1,0,0,0,no,,yes,
A2,PMC12227466,10.1007/s10142-025-01649-3,2025,Functional & integrative genomics,Discovering novel type I collagen fragments from Cyprinus carpio supporting bone regeneration.,0,0,0,0,no,,yes,
A2,PMC12294283,10.3390/gels11070550,2025,"Gels (Basel, Switzerland)",Interpretable Prediction and Analysis of PVA Hydrogel Mechanical Behavior Using Machine Learning.,0,0,0,0,no,,yes,A4
A2,PMC12296543,10.1016/j.ultsonch.2025.107464,2025,Ultrasonics sonochemistry,Preparation of aspirin inhalable powder by ultrasound-intensified anti-solvent crystallization for pulmonary drug delivery.,0,0,0,0,no,,yes,
A2,PMC12298074,10.3390/polym17141919,2025,Polymers,Novel Core-Shell Aerogel Formulation for Drug Delivery Based on Alginate and Konjac Glucomannan: Rational Design Using Artificial Intelligence Tools.,0,0,1,0,no,,no,
A2,PMC12521365,10.1038/s41598-025-19683-3,2025,Scientific reports,Development and In Vivo evaluation of liposomal fentanyl nanocarriers using thin-film hydration and AI-based characterization for enhanced analgesic efficacy in anesthesia.,0,0,0,0,no,,no,
A2,PMC12656060,10.3390/polym17222973,2025,Polymers,Additive Manufacturing of Bead-Chain-Shaped Scaffolds with AI-Based Process Optimization.,0,0,1,0,no,,yes,A4
A2,PMC12666576,10.1016/j.ultsonch.2025.107682,2025,Ultrasonics sonochemistry,"Eco-friendly production of AgNPs by ultrasound-intensified continuous method, and process evaluation via life cycle assessment and machine learning.",0,0,0,0,no,,no,
A2,PMC12736625,10.3390/pharmaceutics17121546,2025,Pharmaceutics,Combined Experimental and Computational Approaches for Ternary Solid Dispersions to Enhance the Oral Bioavailability of Penfluridol.,0,0,1,0,no,,yes,
A2,PMC13128258,10.1016/j.actbio.2024.06.038,2024,Acta biomaterialia,Discovering 3D hidden elasticity in isotropic and transversely isotropic materials with physics-informed UNets.,0,0,0,1,no,,yes,A1
A2,PMC7076403,10.3390/pharmaceutics12020166,2020,Pharmaceutics,A 3D Bioprinted Pseudo-Bone Drug Delivery Scaffold for Bone Tissue Engineering.,0,0,1,0,yes,EP,no,A4
A2,PMC7284204,10.1002/advs.201903392,2020,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",Immune Modulation by Design: Using Topography to Control Human Monocyte Attachment and Macrophage Differentiation.,0,0,0,0,no,,yes,
A2,PMC7502161,,2020,Avicenna journal of medical biotechnology,Application of Electrospray in Preparing Solid Lipid Nanoparticles and Optimization of Nanoparticles Using Artificial Neural Networks.,0,0,0,0,no,,yes,
A2,PMC7795907,10.3390/molecules26010111,2020,"Molecules (Basel, Switzerland)",Tailoring Atomoxetine Release Rate from DLP 3D-Printed Tablets Using Artificial Neural Networks: Influence of Tablet Thickness and Drug Loading.,0,0,0,0,no,,no,
A2,PMC8415910,10.3389/fbioe.2021.704738,2021,Frontiers in bioengineering and biotechnology,Unraveling the Local Relation Between Tissue Composition and Human Brain Mechanics Through Machine Learning.,1,0,0,1,no,,yes,
A2,PMC8493061,10.3389/fmolb.2021.677547,2021,Frontiers in molecular biosciences,Microfluidic Synthesis of Indomethacin-Loaded PLGA Microparticles Optimized by Machine Learning.,0,0,0,0,no,,yes,
A2,PMC8840207,10.3390/polym14030527,2022,Polymers,Estimating the Relative Crystallinity of Biodegradable Polylactic Acid and Polyglycolide Polymer Composites by Machine Learning Methodologies.,0,0,0,0,no,,no,
A2,PMC9104973,10.3390/polym14091802,2022,Polymers,Accelerated Discovery of the Polymer Blends for Cartilage Repair through Data-Mining Tools and Machine-Learning Algorithm.,0,0,0,0,no,,no,A4
A2,PMC9513834,10.34133/2022/9784273,2022,"Research (Washington, D.C.)",High-Content Screening and Analysis of Stem Cell-Derived Neural Interfaces Using a Combinatorial Nanotechnology and Machine Learning Approach.,0,0,1,0,yes,EP,yes,
A2,PMC9546622,10.1073/pnas.2209524119,2022,Proceedings of the National Academy of Sciences of the United States of America,"Discovering design principles of collagen molecular stability using a genetic algorithm, deep learning, and experimental validation.",0,0,1,0,no,,no,
A2,PMC9551996,10.3389/fbioe.2022.973275,2022,Frontiers in bioengineering and biotechnology,Designing anisotropic porous bone scaffolds using a self-learning convolutional neural network model.,0,0,0,0,no,,no,A4
A3,PMC10039194,10.1007/s40820-023-01054-0,2023,Nano-micro letters,Mechanoluminescent-Triboelectric Bimodal Sensors for Self-Powered Sensing and Intelligent Control.,0,0,0,0,no,,no,
A3,PMC10407620,10.1039/d3ra02900j,2023,RSC advances,Machine learning-assisted flexible wearable device for tyrosine detection.,0,0,0,0,no,,yes,
A3,PMC11220713,10.1002/advs.202401515,2024,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",Self-Powered Biomimetic Pressure Sensor Based on Mn-Ag Electrochemical Reaction for Monitoring Rehabilitation Training of Athletes.,0,0,0,0,no,,yes,
A3,PMC11348057,10.1002/advs.202401800,2024,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",A Flexible Skin Bionic Thermally Comfortable Wearable for Machine Learning-Facilitated Ultrasensitive Sensing.,0,0,0,0,no,,yes,
A3,PMC11377509,10.1007/s00216-024-05444-0,2024,Analytical and bioanalytical chemistry,Enhancing electrochemical detection through machine learning-driven prediction for canine mammary tumor biomarker with green silver nanoparticles.,0,0,0,0,no,,yes,
A3,PMC11505716,10.3390/bios14100504,2024,Biosensors,A Machine Learning Assisted Non-Enzymatic Electrochemical Biosensor to Detect Urea Based on Multi-Walled Carbon Nanotube Functionalized with Copper Oxide Micro-Flowers.,0,0,0,0,no,,no,
A3,PMC11593876,10.3390/gels10110720,2024,"Gels (Basel, Switzerland)",Alkali Ion-Accelerated Gelation of MXene-Based Conductive Hydrogel for Flexible Sensing and Machine Learning-Assisted Recognition.,0,0,0,0,no,,no,
